#,date,authored_at,short_sha,sha,subject,author,parent_count,diff_basis,repo_files_changed,repo_insertions,repo_deletions,repo_loc_changed,repo_areas_changed,pdf_viewer_path_files_changed,pdf_viewer_path_insertions,pdf_viewer_path_deletions,pdf_viewer_path_loc_changed,pdf_related_files_changed,pdf_related_loc_changed,pdf_related_categories,pdf_related_files,pdf_behavior_summary,regression_relevance
1,2026-06-10,2026-06-10T21:47:51+02:00,e2781af,e2781aff2720940a88b2873d39c4e9fe031f6b9d,Initial commit: Retab UI component library,Sacha Ichbiah,0,root,478,121022,0,121022,apps: 375 files / 72745 LOC; reference: 83 files / 35202 LOC; pnpm-lock.yaml: 1 files / 11869 LOC; sample: 5 files / 867 LOC; turbo.json: 1 files / 59 LOC; .gitignore: 1 files / 53 LOC; README.md: 1 files / 47 LOC; package.json: 1 files / 38 LOC,2,411,0,411,5,654,PDF related; viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+408/-0) | reference/frontend/app/dashboard/shared/single-page-pdf-viewer.tsx (+137/-0) | apps/v4/content/docs/components/pdf-viewer.mdx (+71/-0) | apps/v4/components/pdf-viewer-demo.tsx (+35/-0) | apps/v4/components/ui/pdf-viewer.tsx (+3/-0),"Touched PDF-related categories: PDF related, viewer entrypoint. Files: apps/v4/components/pdf-viewer-demo.tsx | apps/v4/components/ui/pdf-viewer.tsx | apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx","P3 PDF core touched, but no obvious low/high-res mechanism."
2,2026-06-10,2026-06-10T22:04:35+02:00,b5d21b6,b5d21b680f930d6ec5f3b7694f4786c9cbcac9bd,"Remove legacy UiForm, split schema editor, consolidate on json-form",Sacha Ichbiah,1,parent,59,18364,6958,25322,apps: 57 files / 16945 LOC; sample: 2 files / 8377 LOC,1,19,5,24,1,24,viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+19/-5),Touched PDF-related categories: viewer entrypoint. Files: apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
3,2026-06-10,2026-06-10T22:12:22+02:00,5df694c,5df694c08e9743f52882bb262cf8b1086cdbe07e,Add Property Form component to the docs sidebar,Sacha Ichbiah,1,parent,14,289,321,610,apps: 14 files / 610 LOC,1,32,16,48,1,48,viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+32/-16),Touched PDF-related categories: viewer entrypoint. Files: apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
4,2026-06-10,2026-06-10T22:27:54+02:00,34665ed,34665edecb0b97db1615aae4fcfb00477c0cad2b,pdf-viewer: full-width toolbar over full-height sidebar; fix page rotation,Sacha Ichbiah,1,parent,2,109,87,196,apps: 2 files / 196 LOC,1,24,19,43,1,43,viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+24/-19),Touched PDF-related categories: viewer entrypoint. Files: apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
5,2026-06-10,2026-06-10T22:35:51+02:00,877e74a,877e74a9f8a961251ba7b272f00f7907322418ea,pdf-viewer: track current page from the actual scroll viewport,Sacha Ichbiah,1,parent,2,37,42,79,apps: 2 files / 79 LOC,1,36,42,78,1,78,viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+36/-42),Touched PDF-related categories: viewer entrypoint. Files: apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx,"P3 PDF core touched, but no obvious low/high-res mechanism."
6,2026-06-10,2026-06-10T22:41:02+02:00,964e882,964e882067b12dda22afb30728404b46d5ddbe90,Schema editor: inline nested object/array editing + native shadcn polish,Sacha Ichbiah,1,parent,23,1148,651,1799,apps: 22 files / 1704 LOC; pnpm-lock.yaml: 1 files / 95 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
7,2026-06-11,2026-06-11T06:29:53+02:00,b1a88b1,b1a88b1f09540b55babcca4b3c5d4eb7f88fe49a,page-ribbon: lay vertical tick labels in-flow so the sidebar sizes to fit,Sacha Ichbiah,1,parent,1,7,3,10,apps: 1 files / 10 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
8,2026-06-11,2026-06-11T06:38:16+02:00,2633f8f,2633f8f53673c2b75aae8d88a6aa360233e0f9d0,split-viewer: drive the sidebar cursor from scroll progress (smooth),Sacha Ichbiah,1,parent,2,23,14,37,apps: 2 files / 37 LOC,0,0,0,0,0,0,,,No PDF viewer path changes.,No PDF relevance.
9,2026-06-11,2026-06-11T06:51:37+02:00,5f07faa,5f07faa7061b0ceb309759eca99b765b39ddd881,Backup: working tree before schema-editor refactor,Sacha Ichbiah,1,parent,67,1258,1530,2788,apps: 65 files / 2689 LOC; pnpm-lock.yaml: 1 files / 98 LOC; .gitignore: 1 files / 1 LOC,1,140,36,176,2,178,PDF related; viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+140/-36) | apps/v4/components/pdf-viewer-demo.tsx (+1/-1),"Touched PDF-related categories: PDF related, viewer entrypoint. Files: apps/v4/components/pdf-viewer-demo.tsx | apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx","P3 PDF core touched, but no obvious low/high-res mechanism."
10,2026-06-11,2026-06-11T07:27:24+02:00,11bfc9d,11bfc9d73c2538fce48559c2a2fb13d5608e54b5,Move Nullable toggle onto the Data type row in the property form,Sacha Ichbiah,1,parent,46,3811,462,4273,apps: 45 files / 4157 LOC; pnpm-lock.yaml: 1 files / 116 LOC,1,63,3,66,2,73,PDF related; viewer entrypoint,apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx (+63/-3) | apps/v4/components/pdf-viewer-demo.tsx (+4/-3),"Touched PDF-related categories: PDF related, viewer entrypoint. Files: apps/v4/components/pdf-viewer-demo.tsx | apps/v4/registry/new-york-v4/ui/pdf-viewer.tsx","P3 PDF core touched, but no obvious low/high-res mechanism."
