date,order_id,region,country,sales_rep,product,category,units,unit_price,revenue,discount_pct,margin_pct,customer,segment,channel,status
2024-11-23,ORD-100000,North America,United States,P. Novak,Consensus Add-on,Add-on,63,45.47,2864.61,0,67.8,"Soylent Inc",Strategic,Direct,paid
2024-02-17,ORD-100001,EMEA,Germany,D. Walsh,Enterprise SSO,Add-on,155,29.36,3640.64,20,47.7,"Massive GmbH",Startup,Partner,refunded
2024-08-04,ORD-100002,APAC,India,P. Novak,Retab Split,Platform,56,2417.33,135370.48,0,54.7,"Vandelay GmbH",Enterprise,Direct,refunded
2024-08-23,ORD-100003,North America,Canada,H. Kim,Retab Extract,Platform,142,105.52,12736.26,15,63.4,"Globex Inc",Mid-Market,Self-Serve,paid
2024-04-29,ORD-100004,North America,Canada,L. Rossi,Consensus Add-on,Add-on,117,1065.76,124693.92,0,54.3,"Umbra Co",Startup,Partner,pending
2024-05-05,ORD-100005,EMEA,Spain,F. Haddad,Onboarding,Services,70,1036.59,68933.23,5,68.1,"Acme LLC",Startup,Self-Serve,paid
2024-05-17,ORD-100006,North America,United States,L. Rossi,Audit Logs,Add-on,225,961.97,162332.44,25,55.4,"Wayne LLC",Mid-Market,Partner,refunded
2024-10-14,ORD-100007,APAC,South Korea,E. Santos,Onboarding,Services,230,488.96,106837.76,5,81.9,"Initech Ltd",Startup,Direct,paid
2024-03-19,ORD-100008,EMEA,South Africa,H. Kim,Onboarding,Services,153,28.33,3250.87,25,61.3,"Soylent Inc",Startup,Self-Serve,refunded
2024-06-23,ORD-100009,North America,Canada,R. Okafor,Onboarding,Services,41,179.23,6613.59,10,80.8,"Initech Ltd",Enterprise,Partner,paid
2024-07-10,ORD-100010,EMEA,Italy,S. Patel,Enterprise SSO,Add-on,236,29.57,5233.89,25,38.9,"Vandelay GmbH",Startup,Partner,pending
2024-02-10,ORD-100011,North America,Mexico,M. Dubois,Volume Credits,Usage,209,31.77,6639.93,0,43.6,"Wayne Ltd",Enterprise,Marketplace,paid
2024-10-03,ORD-100012,EMEA,UAE,S. Patel,Consensus Add-on,Add-on,103,1028.95,79486.39,25,77.6,"Wayne Inc",Mid-Market,Direct,paid
2024-01-11,ORD-100013,EMEA,Italy,R. Okafor,Retab Classify,Platform,2,30.21,60.42,0,48.1,"Acme GmbH",Mid-Market,Self-Serve,refunded
2024-09-05,ORD-100014,EMEA,Italy,R. Okafor,Retab Split,Platform,186,506.61,89517.99,5,72.5,"Stark LLC",Startup,Marketplace,paid
2024-08-04,ORD-100015,LATAM,Colombia,S. Patel,Retab Parse,Platform,173,1095.74,189563.02,0,40.7,"Vandelay Inc",Mid-Market,Partner,pending
2024-08-17,ORD-100016,EMEA,Spain,A. Chen,Retab Split,Platform,72,189.04,13610.88,0,57.5,"Soylent Inc",Startup,Direct,paid
2024-03-26,ORD-100017,LATAM,Colombia,L. Rossi,Volume Credits,Usage,55,2449.54,134724.7,0,45.2,"Acme SA",Strategic,Self-Serve,paid
2024-12-22,ORD-100018,LATAM,Argentina,P. Novak,Retab Classify,Platform,76,53.59,4072.84,0,70.9,"Acme Inc",Strategic,Partner,paid
2024-09-17,ORD-100019,North America,United States,P. Novak,Retab Extract,Platform,153,30.02,4363.41,5,55.8,"Massive LLC",Startup,Direct,paid
2024-12-02,ORD-100020,APAC,India,K. Nakamura,Retab Classify,Platform,172,961.87,148897.48,10,55.4,"Hooli SA",Startup,Direct,paid
2024-11-14,ORD-100021,North America,United States,L. Rossi,Enterprise SSO,Add-on,55,475.57,22232.9,15,76.8,"Umbra GmbH",Mid-Market,Marketplace,pending
2024-12-26,ORD-100022,APAC,South Korea,L. Rossi,Enterprise SSO,Add-on,3,1062.36,2868.37,10,79.0,"Globex LLC",Startup,Direct,refunded
2024-10-10,ORD-100023,EMEA,France,E. Santos,Consensus Add-on,Add-on,155,51.13,7528.89,5,68.2,"Hooli Ltd",Enterprise,Direct,paid
2024-11-20,ORD-100024,LATAM,Chile,N. Costa,Retab Parse,Platform,1,104.37,93.93,10,45.1,"Wayne Ltd",Strategic,Direct,paid
2024-02-08,ORD-100025,EMEA,Italy,K. Nakamura,Retab Parse,Platform,214,100.63,21534.82,0,56.9,"Acme GmbH",Startup,Self-Serve,paid
2024-12-15,ORD-100026,EMEA,UAE,F. Haddad,Retab Extract,Platform,91,2528.93,184106.1,20,80.8,"Initech LLC",Mid-Market,Partner,paid
2024-01-13,ORD-100027,EMEA,UAE,F. Haddad,Priority Support,Services,201,211.03,40296.18,5,49.7,"Globex SA",Startup,Marketplace,paid
2024-04-12,ORD-100028,LATAM,Chile,K. Nakamura,Consensus Add-on,Add-on,211,2684.59,538126.07,5,39.0,"Umbra SA",Enterprise,Direct,paid
2024-06-28,ORD-100029,LATAM,Chile,K. Nakamura,Retab Parse,Platform,30,92.64,2501.28,10,39.7,"Massive SA",Enterprise,Marketplace,pending
2024-09-18,ORD-100030,North America,Canada,N. Costa,Audit Logs,Add-on,49,89.98,3527.22,20,38.1,"Soylent Co",Mid-Market,Self-Serve,paid
